formatted_text
"A Men Apparel item. Type: Shirts, Color: Navy Blue, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Men Accessories item. Type: Wallets, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Accessory Gift Set, Color: Purple, Usage: Formal."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Purple, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Olive, Usage: Casual."
"A Women Accessories item. Type: Sunglasses, Color: Grey, Usage: Casual."
"A Men Personal Care item. Type: Fragrance Gift Set, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Sweaters, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Navy Blue, Usage: Casual."
"A Women Apparel item. Type: Bra, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Men Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: White, Usage: Ethnic."
"A Men Footwear item. Type: Casual Shoes, Color: Brown, Usage: Formal."
"A Women Apparel item. Type: Tops, Color: Grey Melange, Usage: Casual."
"A Women Apparel item. Type: Sarees, Color: Multi, Usage: Ethnic."
"A Girls Apparel item. Type: Tops, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Camisoles, Color: White, Usage: Casual."
"A Women Accessories item. Type: Pendant, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: White, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Night suits, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Blue, Usage: Casual."
"A Men Accessories item. Type: Wallets, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Caps, Color: Navy Blue, Usage: Sports."
"A Men Apparel item. Type: Kurtas, Color: White, Usage: Ethnic."
"A Unisex Accessories item. Type: Backpacks, Color: Grey, Usage: Casual."
"A Women Accessories item. Type: Earrings, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Red, Usage: Formal."
"A Unisex Accessories item. Type: Belts, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Backpacks, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Ties, Color: Grey, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Purple, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Olive, Usage: Casual."
"A Women Footwear item. Type: Casual Shoes, Color: Beige, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: Navy Blue, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Blue, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Men Accessories item. Type: Sunglasses, Color: White, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: White, Usage: Sports."
"A Women Apparel item. Type: Skirts, Color: Mustard, Usage: Ethnic."
"A Unisex Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: Grey, Usage: Casual."
"A Unisex Accessories item. Type: Caps, Color: Blue, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Ties, Color: Purple, Usage: Formal."
"A Women Accessories item. Type: Handbags, Color: Mustard, Usage: Casual."
"A Women Footwear item. Type: Flip Flops, Color: Pink, Usage: Casual."
"A Unisex Footwear item. Type: Sandals, Color: Red, Usage: Casual."
"A Men Apparel item. Type: Shorts, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Sweatshirts, Color: Black, Usage: Sports."
"A Men Accessories item. Type: Belts, Color: Brown, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: Charcoal, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Trousers, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Black, Usage: Ethnic."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Yellow, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Men Apparel item. Type: Lounge Pants, Color: Grey Melange, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: Yellow, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: White, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Women Accessories item. Type: Earrings, Color: Silver, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Red, Usage: Ethnic."
"A Men Apparel item. Type: Tshirts, Color: Yellow, Usage: Casual."
"A Men Apparel item. Type: Kurtas, Color: White, Usage: Ethnic."
"A Women Footwear item. Type: Heels, Color: Pink, Usage: Casual."
"A Women Apparel item. Type: Tshirts, Color: Pink, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Accessory Gift Set, Color: Brown, Usage: Formal."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Personal Care item. Type: Eyeshadow, Color: Blue, Usage: nan."
"A Men Accessories item. Type: Messenger Bag, Color: Brown, Usage: Casual."
"A Women Accessories item. Type: Wallets, Color: Red, Usage: Casual."
"A Boys Footwear item. Type: Sports Shoes, Color: Brown, Usage: Sports."
"A Men Personal Care item. Type: Perfume and Body Mist, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Purple, Usage: Ethnic."
"A Girls Apparel item. Type: Dresses, Color: Blue, Usage: Casual."
"A Women Personal Care item. Type: Nail Polish, Color: Brown, Usage: nan."
"A Women Apparel item. Type: Kurtas, Color: Maroon, Usage: Ethnic."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Women Footwear item. Type: Heels, Color: Brown, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: White, Usage: Formal."
"A Women Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Formal."
"A Men Accessories item. Type: Socks, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Purple, Usage: Casual."
"A Men Accessories item. Type: Caps, Color: Green, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Women Apparel item. Type: Jeans, Color: Navy Blue, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Off White, Usage: Ethnic."
"A Men Accessories item. Type: Socks, Color: Red, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: Navy Blue, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: Red, Usage: Casual."
"A Women Personal Care item. Type: Nail Polish, Color: Purple, Usage: Casual."
"A Men Accessories item. Type: Caps, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Sports."
"A Women Footwear item. Type: Heels, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Khaki, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: Pink, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Pink, Usage: Sports."
"A Women Apparel item. Type: Bra, Color: White, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Red, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Shorts, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: White, Usage: Casual."
"A Women Accessories item. Type: Sunglasses, Color: Maroon, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Women Apparel item. Type: Sweaters, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Lounge Pants, Color: Grey, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Yellow, Usage: Casual."
"A Women Accessories item. Type: Necklace and Chains, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Trousers, Color: Grey, Usage: Casual."
"A Women Apparel item. Type: Sarees, Color: Green, Usage: Ethnic."
"A Men Accessories item. Type: Laptop Bag, Color: Black, Usage: Casual."
"A Girls Apparel item. Type: Tops, Color: Yellow, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Green, Usage: Casual."
"A Women Footwear item. Type: Casual Shoes, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Maroon, Usage: Casual."
"A Women Personal Care item. Type: Kajal and Eyeliner, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Brown, Usage: nan."
"A Women Accessories item. Type: Sunglasses, Color: Purple, Usage: Casual."
"A Men Apparel item. Type: Trousers, Color: Green, Usage: Formal."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Sports."
"A Men Footwear item. Type: Casual Shoes, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Women Apparel item. Type: Tunics, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Purple, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Sports."
"A Women Apparel item. Type: Dresses, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Cufflinks, Color: Blue, Usage: Formal."
"A Women Apparel item. Type: Tshirts, Color: Yellow, Usage: Casual."
"A Men Accessories item. Type: Cufflinks, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Briefs, Color: Olive, Usage: Casual."
"A Women Apparel item. Type: Jeans, Color: Blue, Usage: Casual."
"A Unisex Accessories item. Type: Handbags, Color: Blue, Usage: Casual."
"A Boys Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Women Footwear item. Type: Flip Flops, Color: Green, Usage: Casual."
"A Women Apparel item. Type: Bra, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Shirts, Color: Green, Usage: Casual."
"A Girls Footwear item. Type: Sandals, Color: Pink, Usage: Casual."
"A Women Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Backpacks, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Brown, Usage: Formal."
"A Men Accessories item. Type: Wallets, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Blue, Usage: Ethnic."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Personal Care item. Type: Perfume and Body Mist, Color: Brown, Usage: Casual."
"A Men Accessories item. Type: Pendant, Color: Steel, Usage: Casual."
"A Unisex Footwear item. Type: Casual Shoes, Color: Yellow, Usage: Casual."
"A Women Apparel item. Type: Patiala, Color: Navy Blue, Usage: Ethnic."
"A Women Apparel item. Type: Tops, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Boys Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Dresses, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Purple, Usage: Formal."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Purple, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Purple, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Caps, Color: White, Usage: Sports."
"A Unisex Accessories item. Type: Handbags, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Handbags, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Sweatshirts, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Women Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: Silver, Usage: Casual."
"A Men Apparel item. Type: Track Pants, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Formal."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Women Personal Care item. Type: Lip Gloss, Color: Purple, Usage: Casual."
"A Men Apparel item. Type: Shorts, Color: Black, Usage: Sports."
"A Women Apparel item. Type: Dresses, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Orange, Usage: Sports."
"A Women Apparel item. Type: Tops, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Orange, Usage: Ethnic."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Grey, Usage: Casual."
"A Women Footwear item. Type: Casual Shoes, Color: Yellow, Usage: Casual."
"A Boys Apparel item. Type: Shirts, Color: White, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Accessories item. Type: Sunglasses, Color: Copper, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Grey, Usage: Sports."
"A Unisex Accessories item. Type: Backpacks, Color: Black, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Maroon, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Men Apparel item. Type: Shirts, Color: Purple, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: White, Usage: Casual."
"A Men Apparel item. Type: Trunk, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Jackets, Color: Navy Blue, Usage: Casual."
"A Women Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Skirts, Color: Pink, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Grey, Usage: Sports."
"A Men Footwear item. Type: Flip Flops, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Kurtis, Color: Maroon, Usage: Ethnic."
"A Men Apparel item. Type: Sweatshirts, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Women Personal Care item. Type: Lip Gloss, Color: Pink, Usage: nan."
"A Women Apparel item. Type: Sarees, Color: Blue, Usage: Ethnic."
"A Unisex Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Backpacks, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Jackets, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Pink, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Brown, Usage: Formal."
"A Women Apparel item. Type: Kurtas, Color: Brown, Usage: Ethnic."
"A Women Apparel item. Type: Kurtas, Color: Purple, Usage: Ethnic."
"A Men Apparel item. Type: Shirts, Color: Red, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Beige, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Churidar, Color: Magenta, Usage: Ethnic."
"A Women Accessories item. Type: Watches, Color: Silver, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Sea Green, Usage: Ethnic."
"A Men Accessories item. Type: Belts, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Accessory Gift Set, Color: Blue, Usage: Formal."
"A Women Accessories item. Type: Handbags, Color: Teal, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: Green, Usage: Casual."
"A Unisex Accessories item. Type: Socks, Color: Black, Usage: Sports."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Men Apparel item. Type: Track Pants, Color: Navy Blue, Usage: Casual."
"A Women Apparel item. Type: Skirts, Color: Beige, Usage: Ethnic."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Women Accessories item. Type: Jewellery Set, Color: Maroon, Usage: Casual."
"A Men Accessories item. Type: Ties, Color: Maroon, Usage: Formal."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: White, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Maroon, Usage: Ethnic."
"A Unisex Footwear item. Type: Sandals, Color: Red, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Maroon, Usage: Formal."
"A Unisex Accessories item. Type: Backpacks, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Brown, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Pink, Usage: Casual."
"A Women Personal Care item. Type: Eyeshadow, Color: Pink, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Pink, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Purple, Usage: Ethnic."
"A Unisex Accessories item. Type: Backpacks, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Backpacks, Color: Red, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Men Apparel item. Type: Jackets, Color: Black, Usage: Sports."
"A Boys Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Socks, Color: White, Usage: Sports."
"A Men Accessories item. Type: Sunglasses, Color: Black, Usage: Casual."
"A Unisex Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
"A Men Apparel item. Type: Tshirts, Color: Purple, Usage: Casual."
"A Women Footwear item. Type: Heels, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Trunk, Color: Grey, Usage: Casual."
"A Women Apparel item. Type: Kurta Sets, Color: Black, Usage: Ethnic."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Yellow, Usage: Casual."
"A Boys Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Men Personal Care item. Type: Perfume and Body Mist, Color: Black, Usage: Casual."
"A Women Accessories item. Type: Pendant, Color: Silver, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Briefs, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Grey, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Grey, Usage: Casual."
"A Women Accessories item. Type: Sunglasses, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Night suits, Color: Black, Usage: Casual."
"A Unisex Accessories item. Type: Caps, Color: Black, Usage: Sports."
"A Women Accessories item. Type: Backpacks, Color: Purple, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Black, Usage: Formal."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Unisex Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Red, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Innerwear Vests, Color: Grey Melange, Usage: Casual."
"A Women Accessories item. Type: Sunglasses, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Khaki, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Dresses, Color: Black, Usage: Party."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Sports."
"A Men Apparel item. Type: Shirts, Color: Grey, Usage: Casual."
"A Women Footwear item. Type: Flats, Color: White, Usage: Casual."
"A Men Footwear item. Type: Formal Shoes, Color: Black, Usage: Formal."
"A Women Apparel item. Type: Bra, Color: Purple, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Unisex Footwear item. Type: Casual Shoes, Color: Red, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Sarees, Color: Green, Usage: Ethnic."
"A Men Apparel item. Type: Shirts, Color: Lavender, Usage: Smart Casual."
"A Women Apparel item. Type: Tops, Color: Blue, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Blue, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: White, Usage: Ethnic."
"A Unisex Accessories item. Type: Backpacks, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Green, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Orange, Usage: Ethnic."
"A Women Apparel item. Type: Capris, Color: Yellow, Usage: Casual."
"A Men Apparel item. Type: Sweaters, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Pink, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Jeans, Color: Grey, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: White, Usage: Ethnic."
"A Unisex Accessories item. Type: Handbags, Color: Yellow, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Sweatshirts, Color: Grey, Usage: Casual."
"A Women Footwear item. Type: Sports Shoes, Color: Purple, Usage: Sports."
"A Women Personal Care item. Type: Nail Polish, Color: Magenta, Usage: Casual."
"A Men Accessories item. Type: Watches, Color: Gold, Usage: Formal."
"A Men Accessories item. Type: Belts, Color: Black, Usage: Formal."
"A Women Accessories item. Type: Earrings, Color: Gold, Usage: Ethnic."
"A Men Accessories item. Type: Watches, Color: White, Usage: Casual."
"A Men Accessories item. Type: Sunglasses, Color: Brown, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Khaki, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Beige, Usage: Casual."
"A Men Accessories item. Type: Ties, Color: Blue, Usage: Formal."
"A Women Apparel item. Type: Dupatta, Color: Olive, Usage: Ethnic."
"A Women Apparel item. Type: Tops, Color: Beige, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Women Footwear item. Type: Casual Shoes, Color: White, Usage: Casual."
"A Women Accessories item. Type: Handbags, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Yellow, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: White, Usage: Sports."
"A Women Accessories item. Type: Hair Accessory, Color: Pink, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Navy Blue, Usage: Casual."
"A Men Footwear item. Type: Flip Flops, Color: Brown, Usage: Casual."
"A Men Apparel item. Type: Innerwear Vests, Color: Green, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Men Apparel item. Type: Trunk, Color: Charcoal, Usage: Casual."
"A Women Apparel item. Type: Bra, Color: Grey, Usage: Sports."
"A Women Apparel item. Type: Sarees, Color: Brown, Usage: Ethnic."
"A Men Accessories item. Type: Wallets, Color: Black, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Brown, Usage: Formal."
"A Women Personal Care item. Type: Lipstick, Color: Pink, Usage: Casual."
"A Women Apparel item. Type: Tshirts, Color: Black, Usage: Casual."
"A Women Personal Care item. Type: Perfume and Body Mist, Color: Red, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Navy Blue, Usage: Casual."
"A Men Apparel item. Type: Jeans, Color: Blue, Usage: Casual."
"A Men Footwear item. Type: Casual Shoes, Color: Rust, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Black, Usage: Formal."
"A Men Footwear item. Type: Casual Shoes, Color: Brown, Usage: Casual."
"A Men Accessories item. Type: Belts, Color: Brown, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Green, Usage: Ethnic."
"A Women Accessories item. Type: Handbags, Color: Beige, Usage: Casual."
"A Women Apparel item. Type: Kurtas, Color: Green, Usage: Ethnic."
"A Women Footwear item. Type: Heels, Color: Beige, Usage: Casual."
"A Men Footwear item. Type: Sandals, Color: Black, Usage: Casual."
"A Women Apparel item. Type: Tops, Color: Grey, Usage: Casual."
"A Unisex Accessories item. Type: Duffel Bag, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: Blue, Usage: Casual."
"A Men Apparel item. Type: Tshirts, Color: White, Usage: Casual."
"A Men Apparel item. Type: Shirts, Color: Red, Usage: Casual."
"A Men Footwear item. Type: Sports Shoes, Color: Black, Usage: Sports."
